Point{id=id1267, cat=RESTAURANT, lat=-35.5155174241, lon=149.9038389035}
Point{id=id5928, cat=RESTAURANT, lat=-35.550403239, lon=149.9257440689}
Point{id=id4715, cat=RESTAURANT, lat=-35.3889011997, lon=149.8519707867}
Point{id=id5698, cat=RESTAURANT, lat=-35.5679683465, lon=149.8206419928}
Point{id=id6090, cat=RESTAURANT, lat=-35.3127754898, lon=149.8584618847}
Point{id=id8583, cat=RESTAURANT, lat=-35.5890136873, lon=149.8267135179}
Point{id=id2039, cat=RESTAURANT, lat=-39.0033077055, lon=149.6246020899}
Point{id=id6113, cat=RESTAURANT, lat=-38.9993032011, lon=149.5676623762}
Point{id=id4546, cat=RESTAURANT, lat=-38.9461088503, lon=149.7176000101}
Point{id=id8307, cat=RESTAURANT, lat=-38.872045983, lon=149.6684339086}
Point{id=id4844, cat=RESTAURANT, lat=-39.0303704168, lon=149.5761012164}
Point{id=id1412, cat=RESTAURANT, lat=-39.0419343008, lon=149.6077419516}
Point{id=id764, cat=RESTAURANT, lat=-37.1360250098, lon=140.5731065928}
Point{id=id9040, cat=RESTAURANT, lat=-37.1011890011, lon=140.6063454638}
Point{id=id5865, cat=RESTAURANT, lat=-37.1522474521, lon=140.6955799726}
Point{id=id1452, cat=RESTAURANT, lat=-37.1944345327, lon=140.6034239996}
Point{id=id8808, cat=RESTAURANT, lat=-37.1070624581, lon=140.5544298886}
Point{id=id1479, cat=RESTAURANT, lat=-37.0966774802, lon=140.5552265973}
Point{id=id4039, cat=RESTAURANT, lat=-38.0927823582, lon=141.2732958208}
Point{id=id3753, cat=RESTAURANT, lat=-38.0651995046, lon=141.2726771099}
Point{id=id4898, cat=RESTAURANT, lat=-38.0571642827, lon=141.2396541673}
Point{id=id5783, cat=RESTAURANT, lat=-38.073846015, lon=141.2055229783}
Point{id=id4790, cat=RESTAURANT, lat=-38.1057065228, lon=141.3779112825}
Point{id=id3113, cat=RESTAURANT, lat=-38.1225857616, lon=141.3873890765}
Point{id=id6449, cat=RESTAURANT, lat=-38.5231391065, lon=144.9856093162}
Point{id=id3457, cat=RESTAURANT, lat=-38.5910196971, lon=144.9364399307}
Point{id=id6708, cat=RESTAURANT, lat=-38.4887299097, lon=144.9470253105}
Point{id=id1467, cat=RESTAURANT, lat=-38.6008605547, lon=145.0219228041}
Point{id=id6695, cat=RESTAURANT, lat=-38.6310874793, lon=144.8588638082}
Point{id=id6402, cat=RESTAURANT, lat=-38.5239104814, lon=144.8030328588}
Point{id=id2597, cat=RESTAURANT, lat=-39.5037461971, lon=142.0253967701}
Point{id=id1003, cat=RESTAURANT, lat=-39.4738114642, lon=142.0053847866}
Point{id=id7255, cat=RESTAURANT, lat=-39.4249842494, lon=142.1005403195}
Point{id=id5443, cat=RESTAURANT, lat=-39.4229815054, lon=142.0267041583}
Point{id=id3698, cat=RESTAURANT, lat=-39.5258372765, lon=141.9824390909}
Point{id=id190, cat=RESTAURANT, lat=-39.4891575086, lon=141.9623746952}
Point{id=id6125, cat=RESTAURANT, lat=-35.6293034441, lon=146.7482013548}
Point{id=id8031, cat=RESTAURANT, lat=-35.5408079786, lon=146.7360599662}
Point{id=id8015, cat=RESTAURANT, lat=-35.5980510145, lon=146.9101978281}
Point{id=id678, cat=RESTAURANT, lat=-35.5296382244, lon=146.9117920675}
Point{id=id5148, cat=RESTAURANT, lat=-35.4759497093, lon=146.8028654169}
Point{id=id8089, cat=RESTAURANT, lat=-35.5599041772, lon=146.6440335815}
Point{id=id6442, cat=RESTAURANT, lat=-39.3844060411, lon=148.9492159437}
Point{id=id1852, cat=RESTAURANT, lat=-39.3731037213, lon=148.8614117106}
Point{id=id386, cat=RESTAURANT, lat=-39.4140304052, lon=149.0501782176}
Point{id=id8154, cat=RESTAURANT, lat=-39.4688606549, lon=149.0009459129}
Point{id=id4975, cat=RESTAURANT, lat=-39.4740895566, lon=148.9984651257}
Point{id=id1262, cat=RESTAURANT, lat=-39.4790390035, lon=148.8658798709}
Point{id=id3746, cat=RESTAURANT, lat=-36.536519348, lon=141.0444693497}
Point{id=id3081, cat=RESTAURANT, lat=-36.5545452021, lon=141.1340683874}
Point{id=id93, cat=RESTAURANT, lat=-36.4828490427, lon=141.0152472295}
Point{id=id4542, cat=RESTAURANT, lat=-36.4770385606, lon=141.0445073089}
Point{id=id3044, cat=RESTAURANT, lat=-36.6111599415, lon=140.9364795448}
Point{id=id5111, cat=RESTAURANT, lat=-36.5715894347, lon=140.917659477}
Point{id=id7186, cat=RESTAURANT, lat=-36.1006577315, lon=145.0165320767}
Point{id=id7754, cat=RESTAURANT, lat=-36.1548217946, lon=144.9594779404}
Point{id=id6184, cat=RESTAURANT, lat=-36.0606670243, lon=144.9906117047}
Point{id=id5235, cat=RESTAURANT, lat=-36.0922718286, lon=144.9118777937}
Point{id=id8566, cat=RESTAURANT, lat=-36.1321804182, lon=145.1226104872}
Point{id=id1867, cat=RESTAURANT, lat=-36.026251787, lon=144.9505883517}
