Point{id=id1332, cat=RESTAURANT, lat=-38.1747484677, lon=147.6433254412}
Point{id=id9995, cat=RESTAURANT, lat=-38.1411909096, lon=147.5106020343}
Point{id=id7631, cat=RESTAURANT, lat=-38.1373796619, lon=147.4859321761}
Point{id=id7189, cat=RESTAURANT, lat=-38.1428229912, lon=147.4817653291}
Point{id=id3692, cat=RESTAURANT, lat=-38.0983802202, lon=147.7357603417}
Point{id=id5127, cat=RESTAURANT, lat=-37.0107511517, lon=147.4578644183}
Point{id=id7870, cat=RESTAURANT, lat=-37.0966733369, lon=147.5002341346}
Point{id=id3160, cat=RESTAURANT, lat=-36.9809810718, lon=147.5309396493}
Point{id=id8163, cat=RESTAURANT, lat=-37.0933424229, lon=147.5823800993}
Point{id=id3169, cat=RESTAURANT, lat=-37.1356368568, lon=147.5678214795}
Point{id=id9149, cat=RESTAURANT, lat=-38.6532907267, lon=144.9934016092}
Point{id=id5243, cat=RESTAURANT, lat=-38.6835256666, lon=144.9580335165}
Point{id=id1602, cat=RESTAURANT, lat=-38.6661617063, lon=144.9137360516}
Point{id=id3457, cat=RESTAURANT, lat=-38.5910196971, lon=144.9364399307}
Point{id=id1467, cat=RESTAURANT, lat=-38.6008605547, lon=145.0219228041}
Point{id=id4696, cat=RESTAURANT, lat=-36.94409167, lon=149.9217573376}
Point{id=id48, cat=RESTAURANT, lat=-36.9755046389, lon=149.8997272187}
Point{id=id3118, cat=RESTAURANT, lat=-36.9336326681, lon=149.9421799127}
Point{id=id9418, cat=RESTAURANT, lat=-36.9268976489, lon=149.936094728}
Point{id=id7830, cat=RESTAURANT, lat=-36.9488203227, lon=149.9762788639}
Point{id=id4910, cat=RESTAURANT, lat=-38.8658293719, lon=141.2844623032}
Point{id=id352, cat=RESTAURANT, lat=-38.9055270994, lon=141.2952758916}
Point{id=id3779, cat=RESTAURANT, lat=-38.8992824772, lon=141.2388403722}
Point{id=id9445, cat=RESTAURANT, lat=-38.8982108737, lon=141.2253932874}
Point{id=id1976, cat=RESTAURANT, lat=-38.9014852773, lon=141.15261018}
Point{id=id2654, cat=RESTAURANT, lat=-35.7706527945, lon=139.2017167251}
Point{id=id6027, cat=RESTAURANT, lat=-35.8000369557, lon=139.1826945369}
Point{id=id9870, cat=RESTAURANT, lat=-35.6832628257, lon=139.1671466667}
Point{id=id8399, cat=RESTAURANT, lat=-35.8329541208, lon=139.2274660333}
Point{id=id3815, cat=RESTAURANT, lat=-35.8416783548, lon=139.2830235888}
Point{id=id8484, cat=RESTAURANT, lat=-35.5647566666, lon=144.0439463487}
Point{id=id7911, cat=RESTAURANT, lat=-35.5432553235, lon=144.0289161535}
Point{id=id5808, cat=RESTAURANT, lat=-35.5571962652, lon=143.975138141}
Point{id=id6592, cat=RESTAURANT, lat=-35.6359493274, lon=143.9892154381}
Point{id=id6523, cat=RESTAURANT, lat=-35.609535859, lon=143.9507165965}
Point{id=id7366, cat=RESTAURANT, lat=-35.6099729912, lon=142.9510656675}
Point{id=id3019, cat=RESTAURANT, lat=-35.6541809703, lon=142.7884075493}
Point{id=id2373, cat=RESTAURANT, lat=-35.729623111, lon=142.9290652276}
Point{id=id5728, cat=RESTAURANT, lat=-35.7430773078, lon=142.9126141636}
Point{id=id88, cat=RESTAURANT, lat=-35.7440438843, lon=142.9099385683}
Point{id=id5361, cat=RESTAURANT, lat=-35.9140492602, lon=141.0796932577}
Point{id=id6944, cat=RESTAURANT, lat=-35.9390368615, lon=141.1270650725}
Point{id=id9494, cat=RESTAURANT, lat=-35.9820794116, lon=141.1243126114}
Point{id=id6696, cat=RESTAURANT, lat=-35.9917830133, lon=141.1196974371}
Point{id=id1019, cat=RESTAURANT, lat=-35.8933250573, lon=141.1803456565}
Point{id=id1768, cat=RESTAURANT, lat=-35.2386586469, lon=145.8145357275}
Point{id=id5721, cat=RESTAURANT, lat=-35.2988624918, lon=145.7243008226}
Point{id=id4527, cat=RESTAURANT, lat=-35.2971627128, lon=145.6998845379}
Point{id=id8874, cat=RESTAURANT, lat=-35.1821875181, lon=145.7707960039}
Point{id=id7, cat=RESTAURANT, lat=-35.3575560894, lon=145.7350905328}
