Point{id=id9244, cat=RESTAURANT, lat=-39.646862602, lon=146.1792470804}
Point{id=id8082, cat=RESTAURANT, lat=-39.6503840814, lon=146.1922439678}
Point{id=id1801, cat=RESTAURANT, lat=-39.65460588, lon=146.1261527917}
Point{id=id5643, cat=RESTAURANT, lat=-39.6957769241, lon=146.1288648892}
Point{id=id5748, cat=RESTAURANT, lat=-39.6277366114, lon=146.1263775063}
Point{id=id8885, cat=RESTAURANT, lat=-39.7019989201, lon=146.2341989469}
Point{id=id4982, cat=RESTAURANT, lat=-39.7090596319, lon=146.2319590252}
Point{id=id4409, cat=RESTAURANT, lat=-39.6548325958, lon=146.2682962052}
Point{id=id525, cat=RESTAURANT, lat=-37.049077964, lon=145.834437392}
Point{id=id9994, cat=RESTAURANT, lat=-37.0876337049, lon=145.9356248968}
Point{id=id2451, cat=RESTAURANT, lat=-37.0703379827, lon=145.96203364}
Point{id=id1184, cat=RESTAURANT, lat=-37.0600265742, lon=145.7487010753}
Point{id=id7981, cat=RESTAURANT, lat=-37.0464899207, lon=145.7429060013}
Point{id=id2939, cat=RESTAURANT, lat=-36.9149098622, lon=145.8500019755}
Point{id=id970, cat=RESTAURANT, lat=-36.9187662404, lon=145.9451854891}
Point{id=id5995, cat=RESTAURANT, lat=-37.0033909545, lon=146.0398482299}
Point{id=id1405, cat=RESTAURANT, lat=-37.9641107906, lon=138.5712143335}
Point{id=id7357, cat=RESTAURANT, lat=-37.9305000027, lon=138.5715757011}
Point{id=id7759, cat=RESTAURANT, lat=-37.9249148652, lon=138.5610938661}
Point{id=id6422, cat=RESTAURANT, lat=-37.943370711, lon=138.6183810245}
Point{id=id6909, cat=RESTAURANT, lat=-38.0050019261, lon=138.5706464912}
Point{id=id6881, cat=RESTAURANT, lat=-37.9442722268, lon=138.5068267421}
Point{id=id286, cat=RESTAURANT, lat=-37.989181596, lon=138.4994747884}
Point{id=id7562, cat=RESTAURANT, lat=-37.960003859, lon=138.6768156538}
Point{id=id1191, cat=RESTAURANT, lat=-37.914419993, lon=139.8731296142}
Point{id=id3369, cat=RESTAURANT, lat=-37.9391130115, lon=139.8984711962}
Point{id=id3529, cat=RESTAURANT, lat=-37.9244083236, lon=139.9316124126}
Point{id=id7296, cat=RESTAURANT, lat=-37.9595830291, lon=139.9363822392}
Point{id=id2750, cat=RESTAURANT, lat=-37.9728658921, lon=139.8830445089}
Point{id=id8568, cat=RESTAURANT, lat=-37.938118078, lon=139.8046194258}
Point{id=id9754, cat=RESTAURANT, lat=-37.8732127605, lon=140.0102458518}
Point{id=id3799, cat=RESTAURANT, lat=-37.8880884485, lon=140.0198295574}
Point{id=id3394, cat=RESTAURANT, lat=-39.326019685, lon=140.5941639836}
Point{id=id7906, cat=RESTAURANT, lat=-39.3470038292, lon=140.5727714592}
Point{id=id7428, cat=RESTAURANT, lat=-39.2963956249, lon=140.6310909677}
Point{id=id7942, cat=RESTAURANT, lat=-39.3143196784, lon=140.6438618918}
Point{id=id9311, cat=RESTAURANT, lat=-39.353676923, lon=140.6419722726}
