Point{id=id2563, cat=RESTAURANT, lat=-36.2180775612, lon=143.8416473667}
Point{id=id4114, cat=RESTAURANT, lat=-36.1758750167, lon=143.7985553316}
Point{id=id1459, cat=RESTAURANT, lat=-36.1790987062, lon=143.7871558088}
Point{id=id2075, cat=RESTAURANT, lat=-35.1678625411, lon=147.8178110292}
Point{id=id5064, cat=RESTAURANT, lat=-35.1973521013, lon=147.8274608522}
Point{id=id4757, cat=RESTAURANT, lat=-35.1974988476, lon=147.8172649598}
Point{id=id6849, cat=RESTAURANT, lat=-38.419268197, lon=145.5297667731}
Point{id=id1584, cat=RESTAURANT, lat=-38.3898130215, lon=145.5655707894}
Point{id=id7302, cat=RESTAURANT, lat=-38.3094187059, lon=145.5298165185}
Point{id=id6315, cat=RESTAURANT, lat=-35.5573315382, lon=139.9002891205}
Point{id=id986, cat=RESTAURANT, lat=-35.610502767, lon=139.8877735393}
Point{id=id4274, cat=RESTAURANT, lat=-35.5519614853, lon=139.8646599159}
Point{id=id378, cat=RESTAURANT, lat=-37.5260387907, lon=149.5526395884}
Point{id=id2990, cat=RESTAURANT, lat=-37.5735144672, lon=149.5114013491}
Point{id=id2668, cat=RESTAURANT, lat=-37.6284326548, lon=149.6154531835}
Point{id=id6378, cat=RESTAURANT, lat=-36.7008905415, lon=149.8283513052}
Point{id=id4514, cat=RESTAURANT, lat=-36.7268125999, lon=149.8539038205}
Point{id=id6141, cat=RESTAURANT, lat=-36.6683474429, lon=149.8624935829}
Point{id=id2652, cat=RESTAURANT, lat=-36.8716845036, lon=145.9661641348}
Point{id=id429, cat=RESTAURANT, lat=-36.812846097, lon=145.9682637816}
Point{id=id1933, cat=RESTAURANT, lat=-36.8766255676, lon=146.0911775061}
Point{id=id8396, cat=RESTAURANT, lat=-38.6668462024, lon=148.2921509568}
Point{id=id2736, cat=RESTAURANT, lat=-38.655549014, lon=148.2903627625}
Point{id=id6889, cat=RESTAURANT, lat=-38.679895049, lon=148.1637604394}
Point{id=id6981, cat=RESTAURANT, lat=-35.3809925688, lon=145.7983895854}
Point{id=id7, cat=RESTAURANT, lat=-35.3575560894, lon=145.7350905328}
Point{id=id8021, cat=RESTAURANT, lat=-35.3596206065, lon=145.6987705954}
Point{id=id6541, cat=RESTAURANT, lat=-38.768643387, lon=148.9367608048}
Point{id=id1127, cat=RESTAURANT, lat=-38.7313721423, lon=149.0100680809}
Point{id=id1430, cat=RESTAURANT, lat=-38.7002851922, lon=149.0444737813}
